file_name,atoms,residues,surface_area,volume,sasa,hbonds,clashes,coulombic_mean,hydrophilic_ratio,molecular_weight,aromaticity,instability_index,gravy,aliphatic_index,absolute_charge_per_residue,hydrophilic_index
aaeX.txt,1139,67,4499,10530,5770.1,53,38,0.46,0.22029081,7846.49,0.2239,55.11,1.4851,143.88,0.0085,1.4851
aas.txt,11507,719,2,107300,30741,619,766,2.03,0.99993494,80699.04,0.0918,37.94,-0.0423,95.72,0.0208,-0.0423
aat.txt,3697,234,9718,34270,11660,198,231,-0.26,0.166552316,26618.21,0.1068,53.55,-0.247,81.28,-0.0031,-0.247
abgA.txt,6431,436,1,59450,17287,420,465,-2.96,0.999942153,46587.67,0.0757,33.13,-0.0959,79.11,-0.0362,-0.0959
abgB.txt,7220,481,1,66610,18772,442,566,-1.96,0.999946729,52193.01,0.0852,34.59,-0.1867,78.42,-0.0314,-0.1867
abgR.txt,4790,302,1,44570,15533,261,313,-0.16,0.999935621,34057.74,0.0828,56.5,-0.2291,88.21,0.004,-0.2291
accA.txt,4985,319,1,45960,15837,309,235,-0.69,0.999936857,35241.13,0.0627,41.5,-0.2326,94.92,-0.0129,-0.2326
accB.txt,2343,156,9939,21580,13599,77,90,-2.14,0.269137437,16687.04,0.0385,67.71,0.0103,88.85,-0.0601,0.0103
accC.txt,6947,449,1,64110,18421,405,453,-0.33,0.999945714,49320.19,0.0668,36.97,-0.1733,91.07,-0.0032,-0.1733
accD.txt,4711,304,1,43150,17974,243,274,0.02,0.999944364,33321.56,0.0526,42.46,-0.1286,86.35,0.0025,-0.1286
aceA.txt,6600,434,1,61530,19833,415,408,-2.05,0.999949579,47521,0.1014,36.53,-0.2242,77.9,-0.0295,-0.2242
aceB.txt,8431,533,1,78240,20541,540,602,-1.59,0.999951317,60272.85,0.0919,32.53,-0.3161,86.83,-0.027,-0.3161
aceE.txt,13877,887,3,130100,36115,840,891,-2.05,0.999916932,99667.28,0.0981,38.15,-0.4369,80.63,-0.0275,-0.4369
aceF.txt,9410,630,3,86570,45518,398,439,-1.67,0.999934092,66095.27,0.0397,36.11,0.0044,94.83,-0.0285,0.0044
aceK.txt,9470,578,2,89070,25989,536,597,-0.78,0.999923044,67697.76,0.1211,52.77,-0.2894,87.92,-0.0166,-0.2894
ackA.txt,6082,400,1,56140,17485,374,339,-1.48,0.999942808,43289.95,0.0675,33.16,-0.047,95.4,-0.023,-0.047
acnA.txt,13706,891,2,129400,30652,819,811,-1.54,0.999934751,97676.07,0.073,36.28,-0.2342,87.99,-0.0189,-0.2342
acnB.txt,13165,865,2,123000,30504,786,880,-2.39,0.999934435,93497.02,0.0671,32.8,-0.1175,91.53,-0.0268,-0.1175
acs.txt,10051,652,2,94490,24126,606,634,-1.58,0.999917102,72092.71,0.0905,34.89,-0.291,83.63,-0.0273,-0.291
add.txt,5111,333,1,46930,12366,335,337,-2.5,0.999919133,36397.02,0.0571,46.97,-0.0243,101.47,-0.0428,-0.0243
adhE.txt,13589,891,3,125200,36082,821,903,-0.74,0.999916856,96126.09,0.0718,29.3,-0.0661,91.86,-0.0064,-0.0661
adhP.txt,4978,336,1,45810,14140,308,334,-1.22,0.999929279,35379.18,0.0536,23.67,0.103,95.48,-0.0169,0.103
adiA.txt,11640,755,2,109700,30410,721,730,-3.14,0.999934232,84424.28,0.102,31.68,-0.3044,76.23,-0.0428,-0.3044
adiY.txt,4080,253,1,37860,13424,215,255,0.91,0.999925507,29006.44,0.0791,48.12,-0.0814,94.35,0.016,-0.0814
adk.txt,3341,214,9477,30880,10550,193,178,-0.15,0.101706161,23585.74,0.0561,19.56,-0.3827,89.3,-0.0196,-0.3827
aegA.txt,9970,659,2,93400,29895,559,568,-0.54,0.999933099,71843.22,0.0531,45.78,-0.2249,80.83,-0.0111,-0.2249
afuB.txt,1902,120,8715,17270,11192,95,42,0.45,0.221318799,13093.22,0.075,36.97,0.6208,133.33,0.005,0.6208
afuC.txt,5475,348,1,50900,16803,308,380,-1.25,0.999940487,39058.31,0.0833,42.42,-0.1876,90.17,-0.0192,-0.1876
agaA.txt,2437,167,7976,22310,9790.7,128,138,-0.68,0.185349362,17519.17,0.0299,27.58,0.1892,91.74,-0.01,0.1892
agaB.txt,2509,158,6662,23010,7951.8,147,147,-0.16,0.162202269,17622.05,0.0633,22.5,-0.1259,102.85,-0.0078,-0.1259
agaC.txt,4090,267,1,37450,16796,242,189,-0.39,0.999940462,28644.53,0.1236,32.02,0.7993,114.46,-0.0125,0.7993
agaD.txt,4168,263,1,38170,16093,243,226,1.25,0.999937861,29001.03,0.1179,25.57,0.5662,114.56,0.0225,0.5662
